,appid,average_2weeks,average_forever,ccu,developer,discount,genre,initialprice,languages,median_2weeks,median_forever,name,negative,owners,positive,price,publisher,score_rank,tags,userscore
0,10,938,11035,20192,Valve,0,Action,999,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",42,192,Counter-Strike,3213,"10,000,000 .. 20,000,000",122294,999,Valve,97,20,96
1,20,512,456,99,Valve,0,Action,499,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",491,15,Team Fortress Classic,624,"5,000,000 .. 10,000,000",3230,499,Valve,58,20,81
2,30,531,1913,155,Valve,0,Action,499,"English, French, German, Italian, Spanish - Spain",951,16,Day of Defeat,384,"5,000,000 .. 10,000,000",3363,499,Valve,74,15,86
3,40,989,1834,6,Valve,0,Action,499,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",1941,8,Deathmatch Classic,265,"5,000,000 .. 10,000,000",1244,499,Valve,56,8,80
4,50,608,1350,97,Gearbox Software,0,Action,499,"English, French, German, Korean",74,113,Half-Life: Opposing Force,273,"5,000,000 .. 10,000,000",5079,499,Valve,90,20,94
5,60,519,985,11,Valve,0,Action,499,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",89,3,Ricochet,656,"5,000,000 .. 10,000,000",2667,499,Valve,52,15,78
6,70,660,1423,527,Valve,0,Action,999,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",33,121,Half-Life,1074,"5,000,000 .. 10,000,000",26974,999,Valve,95,20,95
7,80,1290,1512,788,Valve,0,Action,999,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",23,31,Counter-Strike: Condition Zero,1389,"10,000,000 .. 20,000,000",11781,999,Valve,74,20,88
8,130,612,1140,45,Gearbox Software,0,Action,499,"English, French, German",123,68,Half-Life: Blue Shift,403,"5,000,000 .. 10,000,000",3678,499,Valve,77,18,89
9,220,351,957,864,Valve,0,Action,999,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",61,313,Half-Life 2,2356,"5,000,000 .. 10,000,000",66606,999,Valve,95,20,96
10,240,422,8484,6950,Valve,0,Action,999,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",41,482,Counter-Strike: Source,3420,"10,000,000 .. 20,000,000",75156,999,Valve,93,20,95
11,280,36,375,61,Valve,0,Action,999,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",14,60,Half-Life: Source,1013,"2,000,000 .. 5,000,000",3635,999,Valve,47,20,77
12,300,210,1316,735,Valve,0,Action,999,English,96,153,Day of Defeat: Source,1180,"5,000,000 .. 10,000,000",10343,999,Valve,74,20,88
13,320,223,883,221,Valve,0,Action,499,English,23,42,Half-Life 2: Deathmatch,781,"10,000,000 .. 20,000,000",5902,499,Valve,71,14,86
14,340,204,255,23,Valve,0,Action,0,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",20,21,Half-Life 2: Lost Coast,1003,"10,000,000 .. 20,000,000",5610,0,Valve,61,20,84
